,name,album,artist
0,Ivy,Blonde,Frank Ocean
1,Same Old Blues,Three,Phantogram
2,You Don’t Get Me High Anymore,Three,Phantogram
3,You're Mine,Three,Phantogram
4,Answer,Three,Phantogram
5,Destroyer,Three,Phantogram
6,Fall In Love,Voices,Phantogram
7,Howling At The Moon,Voices,Phantogram
8,When I'm Small,Eyelid Movies,Phantogram
9,The World At Large,Good News For People Who Love Bad News,Modest Mouse
10,Float On,Good News For People Who Love Bad News,Modest Mouse
11,The View,Good News For People Who Love Bad News,Modest Mouse
12,The Good Times Are Killing Me,Good News For People Who Love Bad News,Modest Mouse
13,Dramamine,This Is a Long Drive for Someone with Nothing to Think About,Modest Mouse
14,Ivy,Blonde,Frank Ocean
15,Solo,Blonde,Frank Ocean
16,Self Control,Blonde,Frank Ocean
17,Solo (Reprise),Blonde,Frank Ocean
18,Close To You,Blonde,Frank Ocean
19,White Ferrari,Blonde,Frank Ocean
20,Godspeed,Blonde,Frank Ocean
21,Thinkin Bout You,channel ORANGE,Frank Ocean
22,Crack Rock,channel ORANGE,Frank Ocean
23,Pink Matter,channel ORANGE,Frank Ocean
24,Moon River,Moon River,Frank Ocean
25,Dark Necessities,The Getaway,Red Hot Chili Peppers
26,Sick Love,The Getaway,Red Hot Chili Peppers
27,The Adventures of Rain Dance Maggie,I'm with You,Red Hot Chili Peppers
28,Meet Me at the Corner,I'm with You,Red Hot Chili Peppers
29,Hump de Bump,Stadium Arcadium,Red Hot Chili Peppers
30,Torture Me,Stadium Arcadium,Red Hot Chili Peppers
31,Wet Sand,Stadium Arcadium,Red Hot Chili Peppers
32,Hey,Stadium Arcadium,Red Hot Chili Peppers
33,Don't Forget Me,By the Way,Red Hot Chili Peppers
34,Scar Tissue,Californication,Red Hot Chili Peppers
35,Apache Rose Peacock,Blood Sugar Sex Magik,Red Hot Chili Peppers
36,Sir Psycho Sexy,Blood Sugar Sex Magik,Red Hot Chili Peppers
37,Blood Sugar Sex Magik,Blood Sugar Sex Magik,Red Hot Chili Peppers
38,Under the Bridge,Blood Sugar Sex Magik,Red Hot Chili Peppers
39,Your Eyes Girl,Pink as Floyd / Your Eyes Girl,Red Hot Chili Peppers
40,Soul to Squeeze,Greatest Hits,Red Hot Chili Peppers
41,Quixoticelixer - 2006 Remaster,Californication (Deluxe Edition),Red Hot Chili Peppers
42,Daydreaming,A Moon Shaped Pool,Radiohead
43,Lotus Flower,The King Of Limbs,Radiohead
44,15 Step,In Rainbows,Radiohead
45,Videotape,In Rainbows,Radiohead
46,Reckoner,In Rainbows,Radiohead
47,Sail To The Moon,Hail To the Thief,Radiohead
48,Kid A,Kid A,Radiohead
49,Idioteque,Kid A,Radiohead
50,No Surprises,OK Computer,Radiohead
51,Fake Plastic Trees,The Bends,Radiohead
52,Song To Sing When I'm Lonely,Shadows Collide With People,John Frusciante
53,The Past Recedes,Curtains,John Frusciante
54,Hope,Curtains,John Frusciante
55,The Will To Death,The Will To Death,John Frusciante
56,The Mirror,The Will To Death,John Frusciante
57,Going Inside,To Record Only Water For Ten Days (U.S. Version),John Frusciante
58,The First Season,To Record Only Water For Ten Days (U.S. Version),John Frusciante
59,Murderers,To Record Only Water For Ten Days (U.S. Version),John Frusciante
60,Parade,Still Life,Kevin Morby
61,Narc,Antics: The Special Edition,Interpol
62,Public Pervert,Antics: The Special Edition,Interpol
63,C'mere,Antics: The Special Edition,Interpol
64,Obstacle 1,Turn On The Bright Lights,Interpol
65,NYC,Turn On The Bright Lights,Interpol
66,PDA,Turn On The Bright Lights,Interpol
67,Stella was a diver and she was always down,Turn On The Bright Lights,Interpol
68,My Desire,El Pintor,Interpol
69,All The Rage Back Home,El Pintor,Interpol
70,Tidal Wave,El Pintor,Interpol
71,The Undoing,Interpol,Interpol
72,Memory Serves,Interpol,Interpol
73,Pioneer To The Falls,Our Love To Admire,Interpol
74,Rest My Chemistry,Our Love To Admire,Interpol
75,Barricade,Interpol,Interpol
76,"Same Town, New Story",El Pintor,Interpol
77,Counting Sheep,The Sleep EP,Shakey Graves
78,Kids These Days,The Sleep EP,Shakey Graves
79,Roll The Bones - Audiotree Live Version,Shakey Graves on Audiotree Live (2013),Shakey Graves
80,DLZ,Dear Science,TV On The Radio
81,Killing The Joke,Coup De Grace,Miles Kane
82,Puppy Toy,Knowle West Boy,Tricky
83,Mysterons,Dummy,Portishead
84,Sour Times,Dummy,Portishead
85,Glory Box,Dummy,Portishead
86,Phoenix,The Blue God,Martina Topley-Bird
87,Baby Blue,Some Place Simple,Martina Topley-Bird
88,Paradise Circus,Heligoland,Massive Attack
89,Angel,Mezzanine,Massive Attack
90,Pray For Rain,Heligoland,Massive Attack
91,Splitting The Atom,Heligoland,Massive Attack
92,Psyche,Heligoland,Massive Attack
93,Safe From Harm - 2012 Mix/Master,Blue Lines (2012 Mix/Master),Massive Attack
94,Babel,Heligoland,Massive Attack
95,Saturday Come Slow,Heligoland,Massive Attack
96,Teardrop,Mezzanine,Massive Attack
97,Kids,Oracular Spectacular,MGMT
98,Blue in Green,Kind Of Blue (Legacy Edition),Miles Davis
99,Ratiug,PBX Funicular Intaglio Zone,John Frusciante
